Measure,ReportingPeriodEndDate,AccommodationStatusCode,Number of Patients
Total number of people in contact with adult mental health services,28/02/2019,SH09,34
Total number of people in contact with adult mental health services,31/03/2019,SH09,32
Total number of people in contact with adult mental health services,30/04/2019,SH09,31
Total number of people in contact with adult mental health services,31/05/2019,SH09,33
Total number of people in contact with adult mental health services,30/06/2019,SH09,34
Total number of people in contact with adult mental health services,31/07/2019,SH09,41
Total number of people in contact with adult mental health services,31/08/2019,SH09,44
Total number of people in contact with adult mental health services,30/09/2019,SH09,43
Total number of people in contact with adult mental health services,31/10/2019,SH09,46
Total number of people in contact with adult mental health services,30/11/2019,SH09,41
Total number of people in contact with adult mental health services,31/12/2019,SH09,41
Total number of people in contact with adult mental health services,31/01/2020,SH09,42
Total number of people in contact with adult mental health services,29/02/2020,SH09,41
Total number of people in contact with adult mental health services,31/03/2020,SH09,38
Total number of people in contact with adult mental health services,30/04/2020,SH09,40
Total number of people in contact with adult mental health services,31/05/2020,SH09,40
Total number of people in contact with adult mental health services,30/06/2020,SH09,39
Total number of people in contact with adult mental health services,31/07/2020,SH09,40
Total number of people in contact with adult mental health services,31/08/2020,SH09,37
Total number of people in contact with adult mental health services,30/09/2020,SH09,38
Total number of people in contact with adult mental health services,31/10/2020,SH09,41
Total number of people in contact with adult mental health services,30/11/2020,SH09,40
Total number of people in contact with adult mental health services,31/12/2020,SH09,41
Total number of people in contact with adult mental health services,31/01/2021,SH09,42
Total number of people in adult mental health services who are on CPA,30/04/2018,NULL,49
Total number of people in adult mental health services who are on CPA,31/03/2018,CH00,2
Total number of people in adult mental health services who are on CPA,31/07/2018,CH00,1
Total number of people in adult mental health services who are on CPA,31/01/2019,CH00,1
Total number of people in adult mental health services who are on CPA,31/03/2019,CH00,1
Total number of people in adult mental health services who are on CPA,31/05/2019,CH00,2
Total number of people in adult mental health services who are on CPA,31/10/2019,CH00,2
Total number of people in adult mental health services who are on CPA,29/02/2020,CH00,1
Total number of people in adult mental health services who are on CPA,30/04/2020,CH00,1
Total number of people in adult mental health services who are on CPA,31/07/2020,CH00,1
Total number of people in adult mental health services who are on CPA,30/09/2020,CH00,3
Total number of people in adult mental health services who are on CPA,31/10/2020,CH00,1
Total number of people in adult mental health services who are on CPA,30/09/2018,CH02,1
Total number of people in adult mental health services who are on CPA,31/07/2019,CH02,1
Total number of people in adult mental health services who are on CPA,31/05/2020,CH02,1
Total number of people in adult mental health services who are on CPA,30/06/2020,CH02,1
Total number of people in adult mental health services who are on CPA,31/01/2018,CH03,2
Total number of people in adult mental health services who are on CPA,28/02/2018,CH03,2
Total number of people in adult mental health services who are on CPA,30/09/2018,CH03,1
Total number of people in adult mental health services who are on CPA,30/11/2018,CH03,1
Total number of people in adult mental health services who are on CPA,31/01/2019,CH03,3
Total number of people in adult mental health services who are on CPA,31/08/2019,CH03,1
Total number of people in adult mental health services who are on CPA,31/01/2020,CH03,1
Total number of people in adult mental health services who are on CPA,30/04/2020,CH03,2
Total number of people in adult mental health services who are on CPA,31/05/2020,CH03,3
Total number of people in adult mental health services who are on CPA,31/08/2020,CH03,1
Total number of people in adult mental health services who are on CPA,31/10/2020,CH03,2
Total number of people in adult mental health services who are on CPA,31/01/2018,CH09,1
Total number of people in adult mental health services who are on CPA,30/06/2020,CH09,1
Total number of people in adult mental health services who are on CPA,31/07/2020,CH09,1
Total number of people in adult mental health services who are on CPA,31/05/2018,CJ01,2
Total number of people in adult mental health services who are on CPA,31/10/2018,CJ01,1
Total number of people in adult mental health services who are on CPA,29/02/2020,CJ01,1
Total number of people in adult mental health services who are on CPA,31/01/2018,HM00,1
Total number of people in adult mental health services who are on CPA,31/03/2018,HM00,2
Total number of people in adult mental health services who are on CPA,31/07/2018,HM00,1
Total number of people in adult mental health services who are on CPA,31/08/2018,HM00,1
Total number of people in adult mental health services who are on CPA,30/09/2018,HM00,1
Total number of people in adult mental health services who are on CPA,31/12/2018,HM00,1
Total number of people in adult mental health services who are on CPA,31/01/2019,HM00,2
Total number of people in adult mental health services who are on CPA,31/10/2019,HM00,1
Total number of people in adult mental health services who are on CPA,31/01/2020,HM00,1
Total number of people in adult mental health services who are on CPA,31/05/2020,HM00,1
Total number of people in adult mental health services who are on CPA,30/06/2020,HM00,2
Total number of people in adult mental health services who are on CPA,31/07/2020,HM00,2
Total number of people in adult mental health services who are on CPA,31/08/2020,HM00,2
Total number of people in adult mental health services who are on CPA,30/09/2020,HM00,1
Total number of people in adult mental health services who are on CPA,30/09/2018,HM03,1
Total number of people in adult mental health services who are on CPA,31/03/2018,HM04,1
Total number of people in adult mental health services who are on CPA,30/09/2018,HM04,1
Total number of people in adult mental health services who are on CPA,31/10/2019,HM04,2
Total number of people in adult mental health services who are on CPA,31/07/2020,HM04,1
Total number of people in adult mental health services who are on CPA,31/03/2018,HM05,1
Total number of people in adult mental health services who are on CPA,31/05/2018,HM05,1
Total number of people in adult mental health services who are on CPA,31/08/2018,HM05,1
Total number of people in adult mental health services who are on CPA,31/10/2019,HM05,2
Total number of people in adult mental health services who are on CPA,31/01/2020,HM05,1
Total number of people in adult mental health services who are on CPA,30/06/2020,HM05,1
Total number of people in adult mental health services who are on CPA,31/08/2020,HM05,1
Total number of people in adult mental health services who are on CPA,30/09/2020,HM05,1
Total number of people in adult mental health services who are on CPA,31/01/2018,HM06,1
Total number of people in adult mental health services who are on CPA,28/02/2018,HM06,3
Total number of people in adult mental health services who are on CPA,31/03/2018,HM06,5
Total number of people in adult mental health services who are on CPA,31/05/2018,HM06,2
Total number of people in adult mental health services who are on CPA,31/07/2018,HM06,1
Total number of people in adult mental health services who are on CPA,31/08/2018,HM06,3
Total number of people in adult mental health services who are on CPA,30/11/2018,HM06,1
Total number of people in adult mental health services who are on CPA,31/12/2018,HM06,1
Total number of people in adult mental health services who are on CPA,31/01/2019,HM06,2
Total number of people in adult mental health services who are on CPA,28/02/2019,HM06,4
Total number of people in adult mental health services who are on CPA,31/03/2019,HM06,7
Total number of people in adult mental health services who are on CPA,30/04/2019,HM06,1
Total number of people in adult mental health services who are on CPA,31/05/2019,HM06,2
Total number of people in adult mental health services who are on CPA,31/07/2019,HM06,3
Total number of people in adult mental health services who are on CPA,31/08/2019,HM06,2
Total number of people in adult mental health services who are on CPA,30/09/2019,HM06,1
Total number of people in adult mental health services who are on CPA,31/10/2019,HM06,2
Total number of people in adult mental health services who are on CPA,30/11/2019,HM06,1
Total number of people in adult mental health services who are on CPA,31/12/2019,HM06,2
Total number of people in adult mental health services who are on CPA,31/01/2020,HM06,3
Total number of people in adult mental health services who are on CPA,29/02/2020,HM06,2
Total number of people in adult mental health services who are on CPA,30/04/2020,HM06,1
Total number of people in adult mental health services who are on CPA,31/05/2020,HM06,2
Total number of people in adult mental health services who are on CPA,30/06/2020,HM06,4
Total number of people in adult mental health services who are on CPA,31/07/2020,HM06,4
Total number of people in adult mental health services who are on CPA,30/09/2020,HM06,3
Total number of people in adult mental health services who are on CPA,31/10/2020,HM06,1
Total number of people in adult mental health services who are on CPA,30/11/2020,HM06,3
Total number of people in adult mental health services who are on CPA,31/12/2020,HM06,2
Total number of people in adult mental health services who are on CPA,31/01/2021,HM06,2
Total number of people in adult mental health services who are on CPA,31/03/2018,HS01,1
Total number of people in adult mental health services who are on CPA,31/08/2018,HS01,1
Total number of people in adult mental health services who are on CPA,31/10/2018,HS01,3
Total number of people in adult mental health services who are on CPA,30/11/2018,HS01,2
Total number of people in adult mental health services who are on CPA,31/07/2019,HS01,1
Total number of people in adult mental health services who are on CPA,31/08/2019,HS01,1
Total number of people in adult mental health services who are on CPA,30/09/2019,HS01,1
Total number of people in adult mental health services who are on CPA,30/11/2019,HS01,1
Total number of people in adult mental health services who are on CPA,31/03/2020,HS01,1
Total number of people in adult mental health services who are on CPA,30/04/2020,HS01,1
Total number of people in adult mental health services who are on CPA,30/06/2020,HS01,2
Total number of people in adult mental health services who are on CPA,31/07/2020,HS01,2
Total number of people in adult mental health services who are on CPA,30/09/2020,HS01,2
Total number of people in adult mental health services who are on CPA,31/10/2020,HS01,2
Total number of people in adult mental health services who are on CPA,30/11/2020,HS01,3
Total number of people in adult mental health services who are on CPA,31/12/2020,HS01,2
Total number of people in adult mental health services who are on CPA,31/01/2021,HS01,2
Total number of people in adult mental health services who are on CPA,31/01/2019,HS02,1
Total number of people in adult mental health services who are on CPA,30/04/2019,HS02,1
Total number of people in adult mental health services who are on CPA,31/10/2019,HS02,1
Total number of people in adult mental health services who are on CPA,31/07/2020,HS02,1
Total number of people in adult mental health services who are on CPA,31/10/2020,HS02,1
Total number of people in adult mental health services who are on CPA,31/12/2020,HS02,1
Total number of people in adult mental health services who are on CPA,31/01/2018,HS03,3
Total number of people in adult mental health services who are on CPA,31/01/2019,HS03,1
Total number of people in adult mental health services who are on CPA,30/09/2019,HS03,1
Total number of people in adult mental health services who are on CPA,31/12/2019,HS03,1
Total number of people in adult mental health services who are on CPA,30/06/2020,HS03,1
Total number of people in adult mental health services who are on CPA,31/08/2020,HS03,1
Total number of people in adult mental health services who are on CPA,31/01/2018,HS04,2
Total number of people in adult mental health services who are on CPA,28/02/2018,HS04,1
Total number of people in adult mental health services who are on CPA,31/05/2018,HS04,2
Total number of people in adult mental health services who are on CPA,31/07/2018,HS04,1
Total number of people in adult mental health services who are on CPA,31/12/2018,HS04,1
Total number of people in adult mental health services who are on CPA,30/06/2019,HS04,1
Total number of people in adult mental health services who are on CPA,31/07/2019,HS04,1
Total number of people in adult mental health services who are on CPA,31/03/2020,HS04,1
Total number of people in adult mental health services who are on CPA,31/05/2020,HS04,1
Total number of people in adult mental health services who are on CPA,31/10/2020,HS04,2
Total number of people in adult mental health services who are on CPA,30/11/2020,HS04,2
Total number of people in adult mental health services who are on CPA,30/04/2019,HS05,1
Total number of people in adult mental health services who are on CPA,31/05/2019,HS05,1
Total number of people in adult mental health services who are on CPA,31/07/2020,HS05,1
Total number of people in adult mental health services who are on CPA,31/08/2018,HS09,1
Total number of people in adult mental health services who are on CPA,31/12/2018,HS09,1
Total number of people in adult mental health services who are on CPA,31/03/2020,HS09,1
Total number of people in adult mental health services who are on CPA,31/08/2020,HS09,1
Total number of people in adult mental health services who are on CPA,31/01/2018,MA00,13
Total number of people in adult mental health services who are on CPA,28/02/2018,MA00,13
Total number of people in adult mental health services who are on CPA,31/03/2018,MA00,11
Total number of people in adult mental health services who are on CPA,31/05/2018,MA00,8
Total number of people in adult mental health services who are on CPA,31/07/2018,MA00,13
Total number of people in adult mental health services who are on CPA,31/08/2018,MA00,13
Total number of people in adult mental health services who are on CPA,30/09/2018,MA00,9
Total number of people in adult mental health services who are on CPA,31/10/2018,MA00,11
Total number of people in adult mental health services who are on CPA,30/11/2018,MA00,10
Total number of people in adult mental health services who are on CPA,31/12/2018,MA00,10
Total number of people in adult mental health services who are on CPA,31/01/2019,MA00,13
Total number of people in adult mental health services who are on CPA,28/02/2019,MA00,7
Total number of people in adult mental health services who are on CPA,31/03/2019,MA00,28
Total number of people in adult mental health services who are on CPA,30/04/2019,MA00,8
Total number of people in adult mental health services who are on CPA,31/05/2019,MA00,17
Total number of people in adult mental health services who are on CPA,30/06/2019,MA00,8
Total number of people in adult mental health services who are on CPA,31/07/2019,MA00,21
Total number of people in adult mental health services who are on CPA,31/08/2019,MA00,8
Total number of people in adult mental health services who are on CPA,30/09/2019,MA00,6
Total number of people in adult mental health services who are on CPA,31/10/2019,MA00,11
Total number of people in adult mental health services who are on CPA,30/11/2019,MA00,14
Total number of people in adult mental health services who are on CPA,31/12/2019,MA00,9
Total number of people in adult mental health services who are on CPA,31/01/2020,MA00,14
Total number of people in adult mental health services who are on CPA,29/02/2020,MA00,6
Total number of people in adult mental health services who are on CPA,31/03/2020,MA00,16
Total number of people in adult mental health services who are on CPA,30/04/2020,MA00,14
Total number of people in adult mental health services who are on CPA,31/05/2020,MA00,15
Total number of people in adult mental health services who are on CPA,30/06/2020,MA00,18
Total number of people in adult mental health services who are on CPA,31/07/2020,MA00,24
Total number of people in adult mental health services who are on CPA,31/08/2020,MA00,14
Total number of people in adult mental health services who are on CPA,30/09/2020,MA00,10
Total number of people in adult mental health services who are on CPA,31/10/2020,MA00,9
Total number of people in adult mental health services who are on CPA,30/11/2020,MA00,10
Total number of people in adult mental health services who are on CPA,31/12/2020,MA00,14
Total number of people in adult mental health services who are on CPA,31/01/2021,MA00,10
Total number of people in adult mental health services who are on CPA,31/01/2018,MA01,24
Total number of people in adult mental health services who are on CPA,28/02/2018,MA01,10
Total number of people in adult mental health services who are on CPA,31/03/2018,MA01,17
Total number of people in adult mental health services who are on CPA,31/05/2018,MA01,17
Total number of people in adult mental health services who are on CPA,31/07/2018,MA01,11
Total number of people in adult mental health services who are on CPA,31/08/2018,MA01,13
Total number of people in adult mental health services who are on CPA,30/09/2018,MA01,12
Total number of people in adult mental health services who are on CPA,31/10/2018,MA01,13
Total number of people in adult mental health services who are on CPA,30/11/2018,MA01,15
Total number of people in adult mental health services who are on CPA,31/12/2018,MA01,3
Total number of people in adult mental health services who are on CPA,31/01/2019,MA01,19
Total number of people in adult mental health services who are on CPA,28/02/2019,MA01,14
Total number of people in adult mental health services who are on CPA,31/03/2019,MA01,19
Total number of people in adult mental health services who are on CPA,30/04/2019,MA01,9
Total number of people in adult mental health services who are on CPA,31/05/2019,MA01,12
Total number of people in adult mental health services who are on CPA,30/06/2019,MA01,5
Total number of people in adult mental health services who are on CPA,31/07/2019,MA01,16
Total number of people in adult mental health services who are on CPA,31/08/2019,MA01,10
Total number of people in adult mental health services who are on CPA,30/09/2019,MA01,11
Total number of people in adult mental health services who are on CPA,31/10/2019,MA01,11
Total number of people in adult mental health services who are on CPA,30/11/2019,MA01,11
Total number of people in adult mental health services who are on CPA,31/12/2019,MA01,6
Total number of people in adult mental health services who are on CPA,31/01/2020,MA01,12
Total number of people in adult mental health services who are on CPA,29/02/2020,MA01,11
Total number of people in adult mental health services who are on CPA,31/03/2020,MA01,9
Total number of people in adult mental health services who are on CPA,30/04/2020,MA01,19
Total number of people in adult mental health services who are on CPA,31/05/2020,MA01,16
Total number of people in adult mental health services who are on CPA,30/06/2020,MA01,16
Total number of people in adult mental health services who are on CPA,31/07/2020,MA01,15
Total number of people in adult mental health services who are on CPA,31/08/2020,MA01,11
Total number of people in adult mental health services who are on CPA,30/09/2020,MA01,10
Total number of people in adult mental health services who are on CPA,31/10/2020,MA01,12
Total number of people in adult mental health services who are on CPA,30/11/2020,MA01,10
Total number of people in adult mental health services who are on CPA,31/12/2020,MA01,5
Total number of people in adult mental health services who are on CPA,31/01/2021,MA01,10
Total number of people in adult mental health services who are on CPA,31/01/2018,MA02,3
Total number of people in adult mental health services who are on CPA,28/02/2018,MA02,5
Total number of people in adult mental health services who are on CPA,31/03/2018,MA02,7
Total number of people in adult mental health services who are on CPA,31/05/2018,MA02,4
Total number of people in adult mental health services who are on CPA,31/07/2018,MA02,1
Total number of people in adult mental health services who are on CPA,31/08/2018,MA02,7
Total number of people in adult mental health services who are on CPA,30/09/2018,MA02,8
Total number of people in adult mental health services who are on CPA,31/10/2018,MA02,1
Total number of people in adult mental health services who are on CPA,30/11/2018,MA02,2
Total number of people in adult mental health services who are on CPA,31/12/2018,MA02,3
Total number of people in adult mental health services who are on CPA,31/01/2019,MA02,6
Total number of people in adult mental health services who are on CPA,28/02/2019,MA02,2
Total number of people in adult mental health services who are on CPA,31/03/2019,MA02,13
Total number of people in adult mental health services who are on CPA,30/04/2019,MA02,9
Total number of people in adult mental health services who are on CPA,31/05/2019,MA02,8
Total number of people in adult mental health services who are on CPA,30/06/2019,MA02,1
Total number of people in adult mental health services who are on CPA,31/07/2019,MA02,4
Total number of people in adult mental health services who are on CPA,31/08/2019,MA02,1
Total number of people in adult mental health services who are on CPA,30/09/2019,MA02,12
Total number of people in adult mental health services who are on CPA,31/10/2019,MA02,6
Total number of people in adult mental health services who are on CPA,30/11/2019,MA02,5
Total number of people in adult mental health services who are on CPA,31/12/2019,MA02,12
Total number of people in adult mental health services who are on CPA,31/01/2020,MA02,5
Total number of people in adult mental health services who are on CPA,29/02/2020,MA02,3
Total number of people in adult mental health services who are on CPA,31/03/2020,MA02,8
Total number of people in adult mental health services who are on CPA,30/04/2020,MA02,10
Total number of people in adult mental health services who are on CPA,31/05/2020,MA02,8
Total number of people in adult mental health services who are on CPA,30/06/2020,MA02,12
Total number of people in adult mental health services who are on CPA,31/07/2020,MA02,15
Total number of people in adult mental health services who are on CPA,31/08/2020,MA02,5
Total number of people in adult mental health services who are on CPA,30/09/2020,MA02,6
Total number of people in adult mental health services who are on CPA,31/10/2020,MA02,9
Total number of people in adult mental health services who are on CPA,30/11/2020,MA02,3
Total number of people in adult mental health services who are on CPA,31/12/2020,MA02,6
Total number of people in adult mental health services who are on CPA,31/01/2021,MA02,8
Total number of people in adult mental health services who are on CPA,31/01/2018,MA04,6
Total number of people in adult mental health services who are on CPA,28/02/2018,MA04,3
Total number of people in adult mental health services who are on CPA,31/03/2018,MA04,3
Total number of people in adult mental health services who are on CPA,31/05/2018,MA04,2
Total number of people in adult mental health services who are on CPA,31/07/2018,MA04,5
Total number of people in adult mental health services who are on CPA,31/08/2018,MA04,2
Total number of people in adult mental health services who are on CPA,30/11/2018,MA04,1
Total number of people in adult mental health services who are on CPA,31/12/2018,MA04,1
Total number of people in adult mental health services who are on CPA,31/01/2019,MA04,12
Total number of people in adult mental health services who are on CPA,31/03/2019,MA04,2
Total number of people in adult mental health services who are on CPA,30/04/2019,MA04,2
Total number of people in adult mental health services who are on CPA,30/06/2019,MA04,2
Total number of people in adult mental health services who are on CPA,31/07/2019,MA04,1
Total number of people in adult mental health services who are on CPA,31/08/2019,MA04,4
Total number of people in adult mental health services who are on CPA,31/10/2019,MA04,2
Total number of people in adult mental health services who are on CPA,30/11/2019,MA04,4
Total number of people in adult mental health services who are on CPA,31/12/2019,MA04,2
Total number of people in adult mental health services who are on CPA,31/01/2020,MA04,3
Total number of people in adult mental health services who are on CPA,29/02/2020,MA04,2
Total number of people in adult mental health services who are on CPA,31/03/2020,MA04,3
Total number of people in adult mental health services who are on CPA,30/04/2020,MA04,3
Total number of people in adult mental health services who are on CPA,31/05/2020,MA04,1
Total number of people in adult mental health services who are on CPA,30/06/2020,MA04,2
Total number of people in adult mental health services who are on CPA,31/07/2020,MA04,2
Total number of people in adult mental health services who are on CPA,31/08/2020,MA04,2
Total number of people in adult mental health services who are on CPA,30/09/2020,MA04,6
Total number of people in adult mental health services who are on CPA,31/10/2020,MA04,2
Total number of people in adult mental health services who are on CPA,30/11/2020,MA04,2
Total number of people in adult mental health services who are on CPA,31/12/2020,MA04,2
Total number of people in adult mental health services who are on CPA,31/01/2018,MA05,6
Total number of people in adult mental health services who are on CPA,28/02/2018,MA05,7
Total number of people in adult mental health services who are on CPA,31/03/2018,MA05,4
Total number of people in adult mental health services who are on CPA,31/05/2018,MA05,2
Total number of people in adult mental health services who are on CPA,31/07/2018,MA05,4
Total number of people in adult mental health services who are on CPA,31/08/2018,MA05,3
Total number of people in adult mental health services who are on CPA,30/09/2018,MA05,9
Total number of people in adult mental health services who are on CPA,31/10/2018,MA05,5
Total number of people in adult mental health services who are on CPA,30/11/2018,MA05,1
Total number of people in adult mental health services who are on CPA,31/12/2018,MA05,4
Total number of people in adult mental health services who are on CPA,31/01/2019,MA05,6
Total number of people in adult mental health services who are on CPA,28/02/2019,MA05,3
Total number of people in adult mental health services who are on CPA,31/03/2019,MA05,9
Total number of people in adult mental health services who are on CPA,30/04/2019,MA05,2
Total number of people in adult mental health services who are on CPA,31/05/2019,MA05,3
Total number of people in adult mental health services who are on CPA,30/06/2019,MA05,3
Total number of people in adult mental health services who are on CPA,31/07/2019,MA05,7
Total number of people in adult mental health services who are on CPA,31/08/2019,MA05,7
Total number of people in adult mental health services who are on CPA,30/09/2019,MA05,1
Total number of people in adult mental health services who are on CPA,31/10/2019,MA05,2
Total number of people in adult mental health services who are on CPA,30/11/2019,MA05,4
Total number of people in adult mental health services who are on CPA,31/12/2019,MA05,6
Total number of people in adult mental health services who are on CPA,31/01/2020,MA05,6
Total number of people in adult mental health services who are on CPA,29/02/2020,MA05,3
Total number of people in adult mental health services who are on CPA,31/03/2020,MA05,1
Total number of people in adult mental health services who are on CPA,30/04/2020,MA05,3
Total number of people in adult mental health services who are on CPA,31/05/2020,MA05,8
Total number of people in adult mental health services who are on CPA,30/06/2020,MA05,8
Total number of people in adult mental health services who are on CPA,31/07/2020,MA05,4
Total number of people in adult mental health services who are on CPA,31/08/2020,MA05,9
Total number of people in adult mental health services who are on CPA,30/09/2020,MA05,5
Total number of people in adult mental health services who are on CPA,31/10/2020,MA05,7
Total number of people in adult mental health services who are on CPA,30/11/2020,MA05,5
Total number of people in adult mental health services who are on CPA,31/12/2020,MA05,2
Total number of people in adult mental health services who are on CPA,31/01/2021,MA05,5
Total number of people in adult mental health services who are on CPA,28/02/2018,MA06,3
Total number of people in adult mental health services who are on CPA,31/03/2018,MA06,6
Total number of people in adult mental health services who are on CPA,31/05/2018,MA06,2
Total number of people in adult mental health services who are on CPA,31/07/2018,MA06,1
Total number of people in adult mental health services who are on CPA,31/08/2018,MA06,1
Total number of people in adult mental health services who are on CPA,30/09/2018,MA06,3
Total number of people in adult mental health services who are on CPA,31/10/2018,MA06,1
Total number of people in adult mental health services who are on CPA,30/11/2018,MA06,1
Total number of people in adult mental health services who are on CPA,31/12/2018,MA06,1
Total number of people in adult mental health services who are on CPA,31/01/2019,MA06,3
Total number of people in adult mental health services who are on CPA,28/02/2019,MA06,1
Total number of people in adult mental health services who are on CPA,31/03/2019,MA06,9
Total number of people in adult mental health services who are on CPA,30/04/2019,MA06,1
Total number of people in adult mental health services who are on CPA,31/05/2019,MA06,1
Total number of people in adult mental health services who are on CPA,30/06/2019,MA06,3
Total number of people in adult mental health services who are on CPA,31/07/2019,MA06,3
Total number of people in adult mental health services who are on CPA,31/08/2019,MA06,3
Total number of people in adult mental health services who are on CPA,30/09/2019,MA06,3
Total number of people in adult mental health services who are on CPA,31/10/2019,MA06,4
Total number of people in adult mental health services who are on CPA,30/11/2019,MA06,2
Total number of people in adult mental health services who are on CPA,31/01/2020,MA06,4
Total number of people in adult mental health services who are on CPA,29/02/2020,MA06,2
Total number of people in adult mental health services who are on CPA,31/03/2020,MA06,2
Total number of people in adult mental health services who are on CPA,31/05/2020,MA06,4
Total number of people in adult mental health services who are on CPA,30/06/2020,MA06,3
Total number of people in adult mental health services who are on CPA,31/07/2020,MA06,2
Total number of people in adult mental health services who are on CPA,31/08/2020,MA06,1
Total number of people in adult mental health services who are on CPA,31/10/2020,MA06,2
Total number of people in adult mental health services who are on CPA,30/11/2020,MA06,2
Total number of people in adult mental health services who are on CPA,31/12/2020,MA06,5
Total number of people in adult mental health services who are on CPA,31/01/2021,MA06,5
Total number of people in adult mental health services who are on CPA,28/02/2018,MA09,2
Total number of people in adult mental health services who are on CPA,31/03/2018,MA09,1
Total number of people in adult mental health services who are on CPA,31/07/2018,MA09,2
Total number of people in adult mental health services who are on CPA,31/08/2018,MA09,1
Total number of people in adult mental health services who are on CPA,30/11/2018,MA09,1
Total number of people in adult mental health services who are on CPA,31/12/2018,MA09,1
Total number of people in adult mental health services who are on CPA,31/01/2019,MA09,2
Total number of people in adult mental health services who are on CPA,28/02/2019,MA09,2
Total number of people in adult mental health services who are on CPA,31/03/2019,MA09,1
Total number of people in adult mental health services who are on CPA,31/05/2019,MA09,1
Total number of people in adult mental health services who are on CPA,31/08/2019,MA09,1
Total number of people in adult mental health services who are on CPA,31/10/2019,MA09,1
Total number of people in adult mental health services who are on CPA,31/03/2020,MA09,1
Total number of people in adult mental health services who are on CPA,30/04/2020,MA09,1
Total number of people in adult mental health services who are on CPA,30/06/2020,MA09,1
Total number of people in adult mental health services who are on CPA,31/07/2020,MA09,1
Total number of people in adult mental health services who are on CPA,30/09/2020,MA09,1
Total number of people in adult mental health services who are on CPA,30/11/2020,MA09,2
Total number of people in adult mental health services who are on CPA,31/01/2021,MA09,1
Total number of people in adult mental health services who are on CPA,31/01/2018,MH00,1
Total number of people in adult mental health services who are on CPA,28/02/2018,MH00,1
Total number of people in adult mental health services who are on CPA,31/03/2018,MH00,2
Total number of people in adult mental health services who are on CPA,31/08/2018,MH00,1
Total number of people in adult mental health services who are on CPA,30/09/2018,MH00,1
Total number of people in adult mental health services who are on CPA,30/11/2018,MH00,1
Total number of people in adult mental health services who are on CPA,31/12/2018,MH00,1
Total number of people in adult mental health services who are on CPA,31/01/2019,MH00,2
Total number of people in adult mental health services who are on CPA,31/05/2019,MH00,3
Total number of people in adult mental health services who are on CPA,30/06/2019,MH00,2
Total number of people in adult mental health services who are on CPA,31/07/2019,MH00,2
Total number of people in adult mental health services who are on CPA,30/09/2019,MH00,3
Total number of people in adult mental health services who are on CPA,31/10/2019,MH00,1
Total number of people in adult mental health services who are on CPA,31/12/2019,MH00,2
Total number of people in adult mental health services who are on CPA,31/01/2020,MH00,1
Total number of people in adult mental health services who are on CPA,29/02/2020,MH00,1
Total number of people in adult mental health services who are on CPA,31/03/2020,MH00,1
Total number of people in adult mental health services who are on CPA,30/04/2020,MH00,1
Total number of people in adult mental health services who are on CPA,31/08/2020,MH00,1
Total number of people in adult mental health services who are on CPA,30/09/2020,MH00,2
Total number of people in adult mental health services who are on CPA,31/10/2020,MH00,2
Total number of people in adult mental health services who are on CPA,31/01/2021,MH00,1
Total number of people in adult mental health services who are on CPA,31/05/2018,MH01,1
Total number of people in adult mental health services who are on CPA,31/07/2018,MH01,1
Total number of people in adult mental health services who are on CPA,31/08/2018,MH01,2
Total number of people in adult mental health services who are on CPA,30/09/2018,MH01,1
Total number of people in adult mental health services who are on CPA,31/10/2018,MH01,1
Total number of people in adult mental health services who are on CPA,31/01/2019,MH01,5
Total number of people in adult mental health services who are on CPA,31/03/2019,MH01,1
Total number of people in adult mental health services who are on CPA,31/05/2019,MH01,1
Total number of people in adult mental health services who are on CPA,31/07/2019,MH01,2
Total number of people in adult mental health services who are on CPA,31/08/2019,MH01,2
Total number of people in adult mental health services who are on CPA,30/09/2019,MH01,3
Total number of people in adult mental health services who are on CPA,31/10/2019,MH01,1
Total number of people in adult mental health services who are on CPA,30/11/2019,MH01,1
Total number of people in adult mental health services who are on CPA,31/12/2019,MH01,2
Total number of people in adult mental health services who are on CPA,31/01/2020,MH01,1
Total number of people in adult mental health services who are on CPA,29/02/2020,MH01,1
Total number of people in adult mental health services who are on CPA,31/03/2020,MH01,1
Total number of people in adult mental health services who are on CPA,30/04/2020,MH01,1
Total number of people in adult mental health services who are on CPA,31/05/2020,MH01,1
Total number of people in adult mental health services who are on CPA,31/07/2020,MH01,2
Total number of people in adult mental health services who are on CPA,31/08/2020,MH01,2
Total number of people in adult mental health services who are on CPA,31/10/2020,MH01,1
Total number of people in adult mental health services who are on CPA,31/12/2020,MH01,2
Total number of people in adult mental health services who are on CPA,31/01/2018,MH03,1
Total number of people in adult mental health services who are on CPA,31/10/2018,MH03,1
Total number of people in adult mental health services who are on CPA,31/01/2019,MH03,1
Total number of people in adult mental health services who are on CPA,31/10/2019,MH03,1
Total number of people in adult mental health services who are on CPA,31/12/2019,MH03,1
Total number of people in adult mental health services who are on CPA,31/01/2021,MH03,1
Total number of people in adult mental health services who are on CPA,31/01/2018,MH04,2
Total number of people in adult mental health services who are on CPA,28/02/2018,MH04,1
Total number of people in adult mental health services who are on CPA,31/03/2018,MH04,1
Total number of people in adult mental health services who are on CPA,31/05/2018,MH04,4
Total number of people in adult mental health services who are on CPA,31/07/2018,MH04,1
Total number of people in adult mental health services who are on CPA,31/08/2018,MH04,1
Total number of people in adult mental health services who are on CPA,30/09/2018,MH04,2
